Артикул,Название,Категория,Бренд,Декор,ТипДекора,Длина,Ширина,Толщина,КлассИзносостойкости,М2Пачка,ШтПаллет,Вес,Влагостойкий,ТеплыйПол,ЗакупЦена,СтараяЦена,РРЦ,Остаток,Наличие
FL-001,ФорестЛайн Дуб Верден №1,Ламинат,ФорестЛайн,Дуб Верден,Дерево,1285,192,8,33,2.132,42,18.0,Нет,Нет,725,,,16,Да
FL-002,ФорестЛайн Ясень Крафт №2,Ламинат,ФорестЛайн,Ясень Крафт,Дерево,1285,192,8,32,2.133,42,19.0,Нет,Нет,750,,,17,Да
FL-003,ФорестЛайн Орех Марсель №3,Ламинат,ФорестЛайн,Орех Марсель,Дерево,1285,192,8,33,2.134,42,20.0,Да,Нет,775,,,18,Да
FL-004,ФорестЛайн Дуб Шато №4,Ламинат,ФорестЛайн,Дуб Шато,Дерево,1285,192,8,32,2.135,42,17.0,Нет,Нет,800,,,19,Да
FL-005,ФорестЛайн Клён Онтарио №5,Ламинат,ФорестЛайн,Клён Онтарио,Дерево,1285,192,8,33,2.136,42,18.0,Нет,Нет,825,,,20,Да
FL-006,ФорестЛайн Венге Империал №6,Ламинат,ФорестЛайн,Венге Империал,Дерево,1285,192,8,32,2.137,42,19.0,Да,Нет,850,,,21,Да
FL-007,ФорестЛайн Дуб Йоркшир №7,Ламинат,ФорестЛайн,Дуб Йоркшир,Дерево,1285,192,8,33,2.138,42,20.0,Нет,Нет,875,,,22,Да
FL-008,ФорестЛайн Дуб Верден №8,Ламинат,ФорестЛайн,Дуб Верден,Дерево,1285,192,8,32,2.139,42,17.0,Нет,Нет,900,,,23,Да
FL-009,ФорестЛайн Ясень Крафт №9,Ламинат,ФорестЛайн,Ясень Крафт,Дерево,1285,192,8,33,2.140,42,18.0,Да,Нет,925,,,24,Да
FL-010,ФорестЛайн Орех Марсель №10,Ламинат,ФорестЛайн,Орех Марсель,Дерево,1285,192,8,32,2.141,42,19.0,Нет,Нет,950,,,25,Да
FL-011,ФорестЛайн Дуб Шато №11,Ламинат,ФорестЛайн,Дуб Шато,Дерево,1285,192,8,33,2.142,42,20.0,Нет,Нет,975,,,0,Нет
FL-012,ФорестЛайн Клён Онтарио №12,Ламинат,ФорестЛайн,Клён Онтарио,Дерево,1285,192,8,32,2.143,42,17.0,Да,Нет,1000,,,27,Да
FL-013,ФорестЛайн Венге Империал №13,Ламинат,ФорестЛайн,Венге Империал,Дерево,1285,192,8,33,2.144,42,18.0,Нет,Нет,1025,,,28,Да
FL-014,ФорестЛайн Дуб Йоркшир №14,Ламинат,ФорестЛайн,Дуб Йоркшир,Дерево,1285,192,8,32,2.145,42,19.0,Нет,Нет,1050,,,29,Да
FL-015,ФорестЛайн Дуб Верден №15,Ламинат,ФорестЛайн,Дуб Верден,Дерево,1285,192,8,33,2.146,42,20.0,Да,Нет,1075,,,30,Да
FL-016,ФорестЛайн Ясень Крафт №16,Ламинат,ФорестЛайн,Ясень Крафт,Дерево,1285,192,8,32,2.147,42,17.0,Нет,Нет,1100,,,31,Да
FL-017,ФорестЛайн Орех Марсель №17,Ламинат,ФорестЛайн,Орех Марсель,Дерево,1285,192,8,33,2.148,42,18.0,Нет,Нет,1125,,,32,Да
FL-018,ФорестЛайн Дуб Шато №18,Ламинат,ФорестЛайн,Дуб Шато,Дерево,1285,192,8,32,2.149,42,19.0,Да,Нет,1150,,,33,Да
FL-019,ФорестЛайн Клён Онтарио №19,Ламинат,ФорестЛайн,Клён Онтарио,Дерево,1285,192,8,33,2.150,42,20.0,Нет,Нет,1175,,,34,Да
FL-020,ФорестЛайн Венге Империал №20,Ламинат,ФорестЛайн,Венге Империал,Дерево,1285,192,8,32,2.151,42,17.0,Нет,Нет,700,,,35,Да
FL-021,ФорестЛайн Дуб Йоркшир №21,Ламинат,ФорестЛайн,Дуб Йоркшир,Дерево,1285,192,8,33,2.152,42,18.0,Да,Нет,725,,,36,Да
FL-022,ФорестЛайн Дуб Верден №22,Ламинат,ФорестЛайн,Дуб Верден,Дерево,1285,192,8,32,2.153,42,19.0,Нет,Нет,750,,,0,Нет
FL-023,ФорестЛайн Ясень Крафт №23,Ламинат,ФорестЛайн,Ясень Крафт,Дерево,1285,192,8,33,2.154,42,20.0,Нет,Нет,775,,,38,Да
FL-024,ФорестЛайн Орех Марсель №24,Ламинат,ФорестЛайн,Орех Марсель,Дерево,1285,192,8,32,2.155,42,17.0,Да,Нет,800,,,39,Да
FL-025,ФорестЛайн Дуб Шато №25,Ламинат,ФорестЛайн,Дуб Шато,Дерево,1285,192,8,33,2.156,42,18.0,Нет,Нет,825,,,40,Да
FL-026,ФорестЛайн Клён Онтарио №26,Ламинат,ФорестЛайн,Клён Онтарио,Дерево,1285,192,8,32,2.157,42,19.0,Нет,Нет,850,,,41,Да
